time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-11-17T17:39:40.380Z,27.647,92.823,44.4,4.7,mb,91,97,,0.76,us,usp000h44w,2014-11-07T01:40:07.246Z,"Arunachal Pradesh, India",earthquake,,4.4,,22,reviewed,us,us
2009-11-07T23:00:32.240Z,26.922,89.178,41.1,4.1,mb,23,163.4,,1.14,us,usp000h3uk,2014-11-07T01:40:05.147Z,"8 km ENE of Samtse, Bhutan",earthquake,,14,,4,reviewed,us,us
2009-11-07T20:08:46.290Z,29.49,86.008,5.7,5.5,mwc,244,17.8,,0.8,us,usp000h3uf,2022-05-02T21:25:50.948Z,"78 km ENE of Saga, China",earthquake,,10.1,,,reviewed,us,gcmt
2009-10-30T04:29:08.390Z,29.643,84.585,10,4.4,mb,55,45.6,,0.71,us,usp000h3jk,2014-11-07T01:39:59.762Z,"71 km WNW of Saga, China",earthquake,,,,17,reviewed,us,us
2009-10-29T17:00:38.600Z,27.262,91.417,26,5.1,mwc,154,43,,0.86,us,usp000h3j5,2022-05-02T21:25:39.055Z,"15 km WSW of Trashigang, Bhutan",earthquake,,3.5,,,reviewed,us,gcmt
2009-10-03T05:20:58.720Z,29.996,79.849,36.1,4.8,mb,81,97.5,,0.59,us,usp000h29z,2014-11-07T01:39:51.859Z,"19 km NNE of B?geshwar, India",earthquake,,5.6,,28,reviewed,us,us
2009-09-29T06:01:13.260Z,30.888,83.49,10,5,mwc,63,94.7,,1.04,us,usp000h1y2,2022-05-02T22:32:44.823Z,"218 km NE of Jumla, Nepal",earthquake,,,,,reviewed,us,gcmt
2009-09-22T08:27:59.310Z,27.289,91.526,27.9,4,mb,21,141,,0.89,us,usp000h1s0,2014-11-07T01:39:44.185Z,"5 km SSW of Trashigang, Bhutan",earthquake,,25.7,,5,reviewed,us,us
2009-09-21T10:22:20.960Z,27.305,91.491,10,4.1,mb,19,142.2,,1.07,us,usp000h1r9,2014-11-07T01:39:44.055Z,"6 km WSW of Trashigang, Bhutan",earthquake,,,,3,reviewed,us,us
2009-09-21T09:43:50.990Z,30.879,79.057,52.3,5,mb,78,85.3,,0.79,us,usp000h1r8,2022-07-15T17:58:23.193Z,"Uttaranchal, India",earthquake,,7.4,,24,reviewed,us,us
2009-09-21T09:16:54.340Z,27.31,91.489,10,4.5,mb,40,77.3,,1.18,us,usp000h1r5,2014-11-07T01:39:44.015Z,"6 km WSW of Trashigang, Bhutan",earthquake,,,,12,reviewed,us,us
2009-09-21T08:53:05.910Z,27.332,91.437,14,6.1,mwb,259,45.4,,0.98,us,usp000h1r4,2022-07-15T17:56:47.037Z,"11 km W of Trashigang, Bhutan",earthquake,,,,,reviewed,us,us
2009-07-24T12:39:50.740Z,30.945,85.81,10,4.1,mb,27,144.5,,1.04,us,usp000gzk7,2014-11-07T01:39:21.153Z,"188 km NNE of Saga, China",earthquake,,,,6,reviewed,us,us
